### framework  (비판 finding 39 → 반영 22 / 반려 6, all_green=True)
  + submit btn background:var(--accent,#0550ae) → var(--brand,#1f6b4a)  [coding/plugin.js _buildShellHTML]
  + pyodide-loading 이모지(⏳) 제거, font-size → var(--fs-sm)  [coding/plugin.js _buildShellHTML]
  + nav 버튼 활성색 var(--accent,#0550ae) → var(--brand,#1f6b4a), done 색 var(--ok,#22863a) → var(--brand-deep,#124e35)  [coding/plugin.js _applyNavFilter]
  + verdictColor var(--ok,#22863a) → var(--brand,#1f6b4a), var(--hot,#d73a49) → var(--hot,#a8301f) (폴백 정합)  [coding/plugin.js _showResult]
  + summary user-select:none 제거 (저시력 사용자 텍스트 복사 차단 해소)  [coding/plugin.js _buildTestCasesHTML]
  + rowColor ok-bg fallback #f0fff4 → var(--brand-bg,#e4efe7), hot-bg fallback → var(--hot-bg,#f9e7e2)  [coding/plugin.js]
  + verdictColor var(--ok,#22863a) → var(--brand,#1f6b4a), var(--hot,#d73a49) → var(--hot,#a8301f)  [excel/plugin.js _showResult]
  + rowBg #f0fff4/#fff5f5 → var(--brand-bg)/var(--hot-bg), icon color → var(--brand)/var(--hot)  [excel/plugin.js _showResult]
  + 모범 수식 레이블 var(--accent,#0550ae) → var(--brand,#1f6b4a)  [excel/plugin.js _showResult]
  + #3cbb74/#f0a015/#d73a49 → var(--brand)/var(--warn)/var(--hot) — 규격 토큰 통일  [excel/plugin.js _diffIcon]
  + nav btn border-radius:7px → var(--r), 활성색 var(--accent,#0550ae) → var(--brand), done색 → var(--brand-deep)  [excel/plugin.js _buildNavHTML]
  + 약점 필터 버튼 border/color var(--hot,#d73a49) → var(--hot,#a8301f), border-radius:6px → var(--r)  [excel/plugin.js _buildNavHTML]
  + excel-badge plugin-badge 공통 클래스로 교체, var(--accent) 제거  [excel/plugin.js _buildHTML]
  + 채점 버튼 background:var(--accent,#0550ae) → var(--brand), border-radius:6px → var(--r)  [excel/plugin.js _buildHTML]
  + colorMap correct/incorrect var(--ok,#22863a)/var(--hot,#d73a49) → var(--brand,#1f6b4a)/var(--hot,#a8301f)  [english/plugin.js _renderResult]
  + 활성색 var(--accent,#0550ae) → var(--brand), done색 → var(--brand-deep)  [english/plugin.js _buildNavHTML]
  + eng-modality-badge → plugin-badge 공통 클래스  [english/plugin.js _buildHTML]
  + 제출 버튼 background:var(--accent,#0550ae) → var(--brand,#1f6b4a), border-radius:6px → var(--r)  [english/plugin.js _buildHTML]
  + var(--accent,#0550ae)/var(--accent-bg,#e8f0fe) → var(--brand)/var(--brand-bg)  [english/plugin.js rate btns]
  + 약점 위젯 background:#f6f8fa → var(--surface2,#f2eee5), hot 폴백 #d73a49 → #a8301f  [english/plugin.js widget]
  + 검증 버튼 border-radius:8px → var(--r)  [aws/plugin.js _buildActivityHTML]
  + verdictColor var(--ok,#22863a) → var(--brand,#1f6b4a), var(--hot,#d73a49) → var(--hot,#a8301f)  [aws/plugin.js _showResult]
  + border-radius:6px → var(--r), 솔루션 패널 background var(--surface2,#f6f8fa) → #f2eee5  [aws/plugin.js hint/solution btn]
  + var(--surface2,#f6f8fa) fallback 값 → #f2eee5 (규격 --surface2 일치)  [전체 plugin.js]
  (반려 예: 일관성렌즈: 공통 act-nav 컴포넌트를 shell.js/utils.js에 공유 함수로  | 일관성렌즈: 해설 패널 공통 callout 클래스로 완전 통일 (자동펼침 여부까지) | 일관성렌즈: coding/excel/english result 영역에 aria-live=')
